Region,living cost
Beijing,4427.1
Tianjin,3626.1
Hebei,2367.9
Shanxi,2457.7
Inner Mongol,3987.5
Liaoning,2479.6
Jilin,2398.7
Heilongjiang,2897.6
Shanghai,4894.1
Jiangsu,3662.7
Zhejiang,4079.5
Anhui,2987
Fujian,3489
Jiangxi,2356.7
Shandong,2679.3
Henan,3721.4
Hubei,3916
Hunan,2786.9
Guangdong,3985.8
Guangxi Zhue,3433
Hainan,3879.2
Chongqing,4427.1
Sichuan,3807.1
Guizhou,4468
Yunnan,3362
Tibet Autonor,1705
Shaanxi,4558
Gansu,3599
Qinghai,3135
Ningxia Hui A,3222
Xinjiang Uygu,4672
